Aboraz Beach (7267,7766) (7213,7819) (7213,7765) (7320,7820) (7321,7725) (7159,7835) (7159,7781) (7159,7727) (7374,7779) (7375,7698) (7133,7899) (7105,7845) (7105,7791) (7105,7737) (7428,7752) (7429,7675) (7051,7820) (7482,7729) (7536,7711) | overflowToLeft=false
Arronto Rise (841,6997) (780,7033) (781,6974) (838,6939) (897,6963) (897,7021) (837,7054) (778,7093) (720,7078) (723,7017) (723,6955) (781,6916) (839,6882) (897,6903) (955,6935) (954,6993) (661,7084) (665,7024) (665,6964) (722,6897) (779,6858) (835,7112) (894,7077) (952,7056) (930,7133) | overflowToLeft=false
Arthur Backpack (2983,268) (3037,268) (3091,268) (3145,268) (3199,268) (2983,322) (3037,322) (3091,322) (3145,322) (3199,322) (2983,375) (3037,375) (3091,375) (3145,375) (3199,375) (2983,429) (3037,429) (3091,429) (3145,429) (3199,429) (2983,483) (3037,483) (3091,483) (3145,483) (3199,483) (2983,537) (3037,537) (3091,537) (3145,537) (3199,537) (2983,591) (3037,591) (3091,591) (3145,591) (3199,591) (2983,645) (3037,645) (3091,645) (3145,645) (3199,645) | overflowToLeft=false
Arthur Levels (2643,299) (2643,334) (2643,369) (2643,404) (2643,439) (2643,474) (2643,509) (2643,544) | overflowToLeft=false
Arthur Mount (2643,577) | overflowToLeft=false
Arthur Origin Story (2701,575) (2701,605) (2791,575) (2791,605) | overflowToLeft=false
Arthur Ranged Weapon (2887,577) | overflowToLeft=false
Ascendants Rise (2847,2935) (2789,2988) (2790,2932) (2813,2876) (2869,2878) (2902,2935) (2732,2983) (2733,2927) (2756,2870) (2925,2878) (2676,3005) (2676,2948) (2958,2934) (2844,2991) (2812,2819) (2899,2990) (2955,2992) | overflowToLeft=false
Ashenvale (1620,3104) (1561,3161) (1618,3160) (1562,3103) (1545,3045) (1600,3045) (1655,3048) (1584,2988) (1641,2991) (1697,2991) (1579,2930) (1635,2933) (1690,2933) (1711,3046) (1506,3101) (1676,3105) (1732,3101) (1450,3146) (1541,3216) (1599,3216) (1676,3160) (1787,3074) (1464,3297) (1404,3284) (1404,3226) (1655,3216) (1600,2874) (1656,2874) | overflowToLeft=false
Astranaar (1750,3299) (1805,3242) (1749,3242) (1806,3299) (1851,3186) (1863,3242) (1863,3298) (1794,3183) (1739,3184) (1691,3240) (1691,3297) (1918,3242) (1920,3299) (1649,3356) (1705,3353) (1976,3291) (1973,3353) (1915,3355) (1941,3411) (1884,3410) (1857,3352) (1799,3355) (1827,3409) (1769,3412) (1849,3467) (1905,3465) | overflowToLeft=false
Auberdine (1425,2020) (1518,2085) (1456,2089) (1522,2023) (1556,1963) (1495,1964) (1436,1973) (1565,1905) (1505,1906) (1578,2041) (1638,2055) (1697,2055) (1575,2096) (1631,2111) (1506,2141) (1448,2149) (1381,2103) (1390,2159) (1332,2160) (1325,2222) (1688,2121) | overflowToLeft=false
Ayanna Backpack (5608,268) (5662,268) (5716,268) (5770,268) (5824,268) (5608,322) (5662,322) (5716,322) (5770,322) (5824,322) (5608,376) (5662,376) (5716,376) (5770,376) (5824,376) (5608,430) (5662,430) (5716,430) (5770,430) (5824,430) (5608,484) (5662,484) (5716,484) (5770,484) (5824,484) (5608,538) (5662,538) (5716,538) (5770,538) (5824,538) (5608,592) (5662,592) (5716,592) (5770,592) (5824,592) (5608,646) (5662,646) (5716,646) (5770,646) (5824,646) | overflowToLeft=false
Ayanna Levels (5268,299) (5268,334) (5268,369) (5268,404) (5268,439) (5268,474) (5268,509) (5268,544) | overflowToLeft=false
Ayanna Mount (5268,577) | overflowToLeft=false
Ayanna Origin Story (5326,575) (5326,605) (5416,575) (5416,605) | overflowToLeft=false
Ayanna Ranged Weapon (5512,577) | overflowToLeft=false
Azeroth High Mountains (7582,6978) | overflowToLeft=false
Azshara (4044,2825) (3987,2779) (3986,2837) (4045,2764) (3929,2776) (3871,2786) (3929,2833) (4101,2765) (4099,2822) (4109,2879) (4049,2881) (3991,2895) (3934,2890) (3945,2948) (4000,2949) (4058,2937) (4002,3005) | overflowToLeft=false
Azurebreeze Coast (8705,1320) (8651,1354) (8651,1300) (8758,1374) (8759,1303) (8630,1246) (8597,1344) (8812,1357) (8576,1290) (8576,1236) (8553,1182) (8866,1340) (8920,1367) | overflowToLeft=false
Azurelode Mine (6705,3137) (6761,3196) (6701,3193) (6773,3135) (6756,3071) (6686,3073) (6642,3132) (6607,3189) (6564,3255) (6627,3259) (6687,3250) (6829,3186) (6788,3252) (6871,3244) (6839,3298) | overflowToLeft=false
Badlands (8095,5343) (8153,5400) (8094,5401) (8035,5407) (8152,5341) (8149,5283) (8094,5283) (8033,5278) (7973,5255) (8019,5339) (8039,5465) (8129,5457) (8189,5463) (8211,5405) (8248,5463) | overflowToLeft=false
Baliamah Ruins (6914,7452) (6858,7475) (6864,7532) (6920,7516) (6915,7390) (6858,7408) (6800,7408) (6799,7467) (6743,7420) (6743,7477) (6686,7448) (6971,7359) (7030,7351) (6974,7416) (7035,7409) (6974,7471) (7038,7469) | overflowToLeft=false
Ban Ethil (1116,816) (1050,807) (1162,830) (1108,760) (1051,750) (1048,863) (993,810) (994,753) (1110,703) (1224,747) (1165,772) (1226,689) (1167,715) (990,866) (997,921) (1053,919) (1054,694) (1221,802) (1139,885) (1144,940) | overflowToLeft=false
Bank of Rajaxx (502,7586) (448,7639) (448,7585) (536,7640) (502,7532) (556,7529) (482,7693) (538,7694) (467,7478) (521,7475) (575,7471) (629,7427) (484,7747) (561,7748) (470,7421) (524,7417) (578,7373) (507,7801) (566,7802) (461,7367) (515,7363) (507,7855) | overflowToLeft=false
Banks of Dun Morogh (6365,4587) (6304,4646) (6361,4648) (6306,4586) (6314,4527) (6373,4527) (6284,4471) (6346,4462) (6405,4444) (6430,4499) (6466,4431) (6489,4487) (6285,4706) (6349,4707) (6288,4764) (6347,4765) (6311,4820) (6367,4820) (6349,4876) (6349,4937) | overflowToLeft=false
Baradin Bay (7394,3726) (7340,3779) (7340,3725) (7412,3780) (7394,3672) (7448,3708) (7338,3671) (7294,3833) (7286,3779) (7286,3725) (7284,3671) (7284,3617) (7338,3617) (7240,3834) (7232,3780) (7230,3626) (7230,3572) (7284,3563) (7186,3838) (7176,3579) (7132,3856) | overflowToLeft=false
Bashal Aran (1750,1938) (1732,1881) (1787,1883) (1805,1939) (1694,1937) (1676,1882) (1637,1937) (1731,1823) (1674,1824) (1620,1878) (1618,1820) (1753,1766) (1695,1766) (1639,1764) (1629,1707) (1511,1696) (1497,1752) (1566,1672) (1687,1709) (1743,1709) (1583,1761) (1615,1994) (1670,1994) (1788,1826) (1726,1995) | overflowToLeft=false
Big Foot Mountains (2085,1886) (2028,1915) (2028,1858) (2083,1830) (2140,1858) (2141,1913) (2085,1941) (2027,1970) (1971,1961) (1972,1905) (1972,1848) (1916,1894) (2067,1773) (2122,1773) (2177,1801) (2197,1855) (2197,1912) (2142,1972) | overflowToLeft=false
Bitter Reaches (3919,2655) (3863,2660) (3861,2716) (3804,2691) (3806,2634) (3862,2602) (3919,2597) (3974,2588) (4030,2565) (4042,2622) (3978,2644) (3919,2711) (3976,2701) (3803,2747) (3806,2577) (3746,2580) (3748,2637) (3746,2694) (3742,2752) (4036,2680) | overflowToLeft=false
Black Morass Range (8043,7133) | overflowToLeft=false
Blackfield (7576,5614) (7561,5671) (7636,5600) (7630,5665) (7510,5605) (7498,5662) (7470,5723) (7693,5574) (7748,5559) (7697,5629) (7690,5687) | overflowToLeft=false
Blackrock Mountain (7333,5628) (7274,5670) (7215,5636) (7331,5685) (7214,5696) (7156,5589) (7097,5580) (7041,5560) (6969,5564) (7089,5636) (7448,5584) (7149,5661) (7403,5524) (7342,5535) (7268,5519) (7214,5576) (7274,5589) (7388,5588) (7269,5726) (7391,5643) (7388,5704) | overflowToLeft=false
Blackrock Pass (7981,5875) (7924,5901) (7985,5814) (7924,5836) (7866,5787) (7866,5843) (7866,5901) (7807,5836) (7795,5897) (8041,5840) (8064,5897) (7998,5932) (8055,5959) | overflowToLeft=false
Blackstone Ridge (7545,5530) | overflowToLeft=false
Blackthorn Piles (1928,5735) (1986,5707) (1926,5678) (1987,5766) (1868,5670) (1870,5727) (1814,5740) (1811,5680) (1754,5720) (1753,5661) (1695,5673) (1990,5824) (2043,5675) (2045,5734) (2048,5792) (2102,5638) (2102,5697) (2105,5756) (2161,5639) | overflowToLeft=false
Blackwald Coast (6401,3424) (6347,3477) (6347,3423) (6432,3478) (6439,3370) (6455,3424) (6493,3336) (6293,3493) (6293,3439) (6509,3390) (6509,3444) (6281,3385) (6547,3334) (6239,3475) (6563,3388) (6563,3442) (6227,3421) (6218,3367) (6617,3414) (6173,3436) | overflowToLeft=false
Blasted Ridge (8175,6777) | overflowToLeft=false
Bloodfen Caves (2560,5950) (2617,5943) (2568,5885) (2538,5824) (2598,5824) (2627,5764) (2565,5764) (2606,5704) (2547,6011) (2606,6008) (2664,6003) (2490,6052) (2550,6068) (2607,6066) (2668,6060) (2556,6127) (2612,6123) (2671,6117) (2721,6020) (2656,6171) | overflowToLeft=false
Bloodhoof Village (1884,5249) (1828,5249) (1857,5304) (1770,5282) (1727,5220) (1939,5248) (1992,5191) (1936,5188) (1879,5189) (1822,5189) (1839,5133) (1895,5133) (1952,5133) (1766,5164) (2008,5135) | overflowToLeft=false
Bloodsail Coast (6505,7781) (6451,7758) (6558,7835) (6504,7835) (6505,7727) (6559,7747) (6438,7704) (6555,7889) (6501,7889) (6492,7673) (6432,7650) (6549,7943) (6495,7943) (6486,7619) (6540,7619) (6559,7997) (6505,7997) (6482,7565) (6536,7565) | overflowToLeft=false
Bloodtooth Camp (2177,3660) (2231,3715) (2233,3659) (2174,3716) (2120,3604) (2176,3605) (2231,3602) (2286,3602) (2288,3657) (2342,3615) (2117,3759) (2047,3732) (2118,3703) (2288,3713) (2342,3558) (2173,3770) (2060,3673) (2229,3771) | overflowToLeft=false
Bloodvenom Falls (1932,2409) (1988,2409) (1960,2530) (2016,2531) (2080,2474) (2023,2474) (2043,2416) (2098,2416) (1876,2409) (1865,2353) (1920,2351) (1977,2350) (1967,2470) (2034,2356) (1910,2464) (1903,2520) (1854,2465) (1873,2575) (2090,2358) (2074,2530) | overflowToLeft=false
Bluegill Marsh (7433,3957) (7486,4013) (7494,3949) (7423,4016) (7511,3888) (7462,3831) (7446,3889) (7387,3879) (7327,3881) (7373,3938) (7313,3937) (7246,3939) (7365,3999) (7551,3990) (7551,4050) (7448,4073) | overflowToLeft=false
Booty Bay (6732,8002) (6710,8060) (6768,8061) (6800,8002) (6743,7940) (6801,7944) (6684,7940) (6857,8000) (6859,7940) (6888,7880) (6830,7879) (6772,7883) (6671,7999) (6623,7939) (6713,7881) (6653,8060) (6823,8060) (6675,8117) (6733,8117) (6743,8175) | overflowToLeft=false
Boulder Lode (2875,3849) | overflowToLeft=false
Brackenwall Ridge (2748,5186) | overflowToLeft=false
Brackenwall Village (2791,5420) (2831,5364) (2776,5309) (2719,5310) (2663,5310) (2832,5306) (2848,5419) (2888,5361) (2673,5448) (2730,5464) (2787,5475) (2659,5377) (2715,5373) (2771,5364) (2845,5476) (2694,5253) (2750,5253) (2808,5250) (2904,5421) (2823,5531) (2881,5532) | overflowToLeft=false
Brambleblade Ravine (2009,5496) (1952,5452) (1951,5507) (2008,5440) (1894,5536) (1894,5480) (1837,5527) (1781,5527) (2008,5551) (2065,5366) (2064,5421) (2067,5478) (2065,5532) (2120,5354) (2177,5358) (2123,5409) (2124,5466) | overflowToLeft=false
Bramblescar (2561,5056) (2586,4999) (2530,4999) (2500,4942) (2556,4942) (2467,4886) (2522,4886) (2578,4885) (2473,4999) (2504,5055) (2448,5054) (2617,5054) (2481,5110) (2537,5112) (2595,5112) | overflowToLeft=false
Brewnall Village (6783,4825) (6732,4766) (6721,4822) (6794,4765) (6910,4746) (6904,4802) (6851,4745) (6846,4802) (6965,4779) (6712,4881) (6770,4881) (6827,4894) | overflowToLeft=false
Bridge of Sighs (2868,1508) (2857,1565) (2924,1479) (2867,1451) (2811,1467) (2811,1411) (2867,1394) (2923,1422) (2768,1604) (2823,1621) (2879,1621) (2813,1676) (2869,1677) (2754,1402) (2978,1418) (2979,1473) (3034,1436) (2924,1364) (2808,1355) (2934,1646) (2934,1701) | overflowToLeft=false
Brill (6785,1997) (6728,2056) (6790,2054) (6842,1940) (6826,1879) (6742,1865) (6766,1925) (6704,1932) (6728,1989) (6668,1991) (6844,1998) (6652,2048) (6674,2107) (6732,2115) (6853,2056) (6808,2112) | overflowToLeft=false
Bronze Bank (3294,1146) (3240,1187) (3240,1133) (3347,1200) (3348,1116) (3226,1079) (3186,1167) (3401,1170) (3401,1224) (3172,1113) (3172,1059) (3425,1278) (3455,1198) (3118,1127) (3118,1073) (3479,1252) (3479,1306) (3076,1019) (3064,1118) (3533,1236) | overflowToLeft=false
Caer Darrow (7780,2400) (7722,2432) (7836,2434) (7779,2457) (7711,2489) (7839,2492) (7771,2517) | overflowToLeft=false
Camp Mojache (1600,5754) (1543,5714) (1600,5697) (1655,5715) (1655,5772) (1487,5720) (1485,5775) (1541,5770) (1597,5810) (1541,5825) (1608,5866) (1663,5827) (1551,5880) (1710,5750) (1431,5728) (1718,5808) | overflowToLeft=false
Camp Turajo (2350,5194) (2406,5149) (2463,5167) (2465,5224) (2519,5182) (2521,5239) (2349,5137) (2378,5081) (2322,5062) (2266,5047) (2265,5102) (2286,5158) (2294,5214) (2332,5270) (2335,5326) (2390,5308) (2389,5364) (2448,5308) (2445,5363) (2504,5295) (2406,5205) (2576,5177) (2577,5237) (2505,5355) | overflowToLeft=false
Cape Fey (677,8176) (623,8199) (623,8145) (730,8230) (677,8122) (676,8253) (591,8091) (784,8224) (784,8278) (730,8284) (537,8071) (591,8037) (519,8017) (838,8224) (838,8278) (573,7983) (508,7963) (892,8218) (892,8272) (562,7929) (946,8259) (602,7875) | overflowToLeft=false
Cauldron (7454,5319) (7397,5346) (7453,5258) (7390,5271) (7330,5286) (7333,5348) (7272,5288) (7510,5256) (7515,5314) (7523,5375) (7462,5379) (7406,5404) (7344,5407) (7365,5464) (7429,5464) (7490,5440) | overflowToLeft=false
Caverns of Time (3338,7182) (3396,7237) (3397,7177) (3339,7239) (3279,7182) (3319,7123) (3378,7119) (3435,7092) (3455,7149) (3512,7148) (3455,7208) (3512,7204) (3453,7264) (3509,7260) (3282,7241) (3225,7262) (3222,7204) (3282,7298) (3338,7298) (3396,7295) (3453,7319) | overflowToLeft=false
Central Darrowmere Range (7984,2595) (7924,2653) (7986,2657) (7925,2572) (7861,2590) (7859,2651) (7831,2713) (7893,2724) (7952,2745) (8045,2612) (8045,2674) (8017,2733) | overflowToLeft=false
Chillrock Ridge (7739,4732) | overflowToLeft=false
Cliffspring (1797,2114) (1785,2171) (1852,2137) (1720,2179) (1738,2115) (1882,1987) (1879,2042) (1823,2002) (1760,2058) (1818,2058) (1844,2194) | overflowToLeft=false
Cliffspring River (1829,1869) (1807,1813) | overflowToLeft=false
Coast of Rut Theran (1344,1409) (1290,1462) (1290,1408) (1397,1463) (1398,1364) (1236,1481) (1236,1427) (1451,1418) (1451,1472) (1452,1363) (1215,1373) (1182,1475) (1505,1417) (1505,1471) (1161,1421) (1529,1363) (1530,1302) (1129,1367) (1559,1417) (1559,1471) (1107,1471) (1583,1360) (1075,1417) (1075,1363) (1613,1414) (1053,1471) (1667,1444) | overflowToLeft=false
Coldridge Bank (6289,5084) (6235,5073) (6342,5138) (6288,5138) (6289,5030) (6343,5054) (6223,5019) (6356,5192) (6302,5192) (6248,5192) (6277,4976) (6186,4965) (6358,5246) (6304,5246) (6250,5246) (6240,4922) (6343,5300) (6245,4868) | overflowToLeft=false
Coldridge Peaks (6468,5078) (6477,5135) (6418,5135) (6420,5195) (6478,5199) (6479,5017) (6565,4952) (6509,4959) (6450,4946) (6408,5002) (6409,5064) (6533,5189) (6535,5248) (6591,5238) (6650,5244) (6705,5249) (6765,5246) | overflowToLeft=false
Coldridge Valley (6690,5033) (6626,5091) (6630,5032) (6687,5090) (6650,4971) (6712,4946) (6776,4961) (6751,5017) (6815,5016) (6570,5027) (6558,5083) (6750,5076) (6812,5076) (6873,5019) (6871,5080) (6560,5143) (6620,5150) (6679,5151) (6742,5157) (6798,5135) | overflowToLeft=false
Corins Crossing (8453,2300) (8510,2359) (8514,2298) (8449,2362) (8498,2235) (8436,2224) (8394,2282) (8374,2342) (8364,2411) (8422,2435) (8483,2426) (8548,2420) (8571,2311) (8606,2374) | overflowToLeft=false
Cragpool Lake (1617,3812) | overflowToLeft=false
Crossroads (2675,4476) (2690,4587) (2706,4531) (2650,4532) (2593,4532) (2634,4588) (2535,4485) (2674,4358) (2616,4355) (2559,4355) (2747,4585) (2654,4643) (2710,4643) (2765,4642) (2699,4416) (2641,4416) (2590,4474) (2584,4412) (2527,4416) (2478,4472) (2670,4698) (2726,4697) (2732,4753) | overflowToLeft=false
Crystal Shore (7094,8085) (7147,8139) (7093,8139) (7080,8031) (7134,8031) (7148,8085) (7158,8193) (7104,8193) (7061,7977) (7050,8199) (6967,7959) (6996,8229) (7121,8247) (7067,8253) (6971,7905) (7013,8283) (6959,8310) | overflowToLeft=false
Crystal Vale (1219,6609) (1161,6583) (1160,6640) (1217,6552) (1218,6666) (1161,6525) (1104,6561) (1101,6619) (1042,6644) (1042,6588) (1034,6528) (1273,6492) (1275,6550) (1275,6607) (1275,6666) (1248,6723) (1306,6723) (1331,6481) (1331,6539) (1332,6598) (1332,6658) (1388,6476) (1387,6533) (1390,6591) (1387,6677) | overflowToLeft=false
Dagger Highlands (6497,6936) (6435,6967) (6490,7002) (6556,6918) (6615,6904) (6496,6876) (6438,6855) (6437,6910) (6381,6871) (6306,6882) (6376,6928) (6312,6937) (6372,6987) (6430,7023) (6549,6993) (6551,7051) | overflowToLeft=false
Dalaran (6746,2850) (6801,2907) (6742,2907) (6688,2965) (6745,2967) (6848,2693) (6805,2752) (6742,2768) (6679,2777) (6864,2752) (6805,2812) (6866,2809) (6686,2837) (6859,2866) (6686,2896) (6698,3021) | overflowToLeft=false
Darkshire (7239,6539) (7273,6595) (7297,6536) (7256,6478) (7317,6478) (7198,6477) (7138,6468) (7078,6449) (7180,6533) (7210,6595) (7376,6484) (7355,6541) (7333,6595) (7435,6469) (7497,6437) (7414,6541) (7392,6597) (7388,6657) | overflowToLeft=false
Darkshore (1228,2177) (1174,2217) (1273,2231) (1185,2123) (1239,2123) (1293,2094) (1219,2271) (1276,2285) (1203,2069) (1257,2040) (1311,2040) (1222,2325) (1315,2339) (1225,1986) (1279,1986) (1261,2379) | overflowToLeft=false
Darkwhisper Gorge (3147,2769) (3092,2714) (3091,2770) (3141,2826) (3084,2826) (3028,2872) (3027,2816) (3033,2758) (3035,2699) (2971,2837) (2972,2780) (2976,2721) (3148,2712) (3151,2655) (3206,2655) (3093,2656) (3204,2711) (3260,2709) (3203,2767) (3199,2823) (3137,2882) | overflowToLeft=false
Darnassus (765,840) (832,875) (877,907) (878,849) (822,817) (880,790) (823,761) (765,782) (707,864) (707,805) (824,705) (879,732) (766,724) (709,746) (710,921) (820,932) (779,989) (722,982) (835,988) (666,987) (892,961) (808,1045) (933,842) (864,1046) | overflowToLeft=false
Darrowmere Lake (7619,2483) (7651,2417) | overflowToLeft=false
Darrowmere Pass (7699,2706) (7756,2763) (7669,2595) (7726,2626) (7784,2626) (7759,2688) (7639,2654) (7641,2714) (7696,2765) (7735,2822) | overflowToLeft=false
Darrowshire (8279,2308) (8222,2357) (8161,2298) (8163,2356) (8138,2417) (8199,2418) (8104,2305) (8220,2292) (8390,2155) (8333,2198) (8275,2251) (8336,2255) (8279,2364) (8258,2422) | overflowToLeft=false
Deadwind Pass (7577,6618) (7502,6643) (7633,6560) (7581,6500) (7576,6558) (7517,6522) (7520,6578) (7461,6581) (7632,6617) (7562,6673) (7507,6708) | overflowToLeft=false
Deadwood Mountains (1989,3132) (2045,3198) (1988,3190) (2045,3140) (1930,3185) (1932,3128) (1993,3075) (1936,3071) (1879,3058) (1877,3116) (2032,3253) (2089,3256) (2102,3169) (2102,3111) (2159,3112) (2153,3055) (1820,3107) (1822,3044) (2144,3247) | overflowToLeft=false
Deathknell (6273,2181) (6329,2223) (6332,2281) (6330,2164) (6388,2164) (6269,2254) (6388,2219) (6390,2275) | overflowToLeft=false
Deathknell Range (6234,2293) | overflowToLeft=false
Deathwing Mountains (6915,5260) (6841,5324) (6856,5265) (6910,5320) (6927,5201) (6873,5144) (6861,5203) (6811,5385) (6873,5380) (6938,5375) (6810,5444) (6874,5437) (6994,5397) | overflowToLeft=false
Deephome Coast (8593,4072) (8646,4126) (8592,4126) (8542,4018) (8596,4018) (8647,4072) (8488,3996) (8673,4180) (8619,4180) (8565,4180) (8542,3964) (8596,3964) (8689,4234) (8635,4234) (8537,3910) | overflowToLeft=false
Demon Fall (2817,3684) (2873,3650) (2762,3630) (2760,3687) (2873,3705) (2893,3594) (2929,3649) (2929,3705) (2817,3740) (2761,3743) (2705,3763) (2672,3818) (2728,3818) (2784,3798) (2841,3806) (2900,3760) (2712,3581) (2956,3760) | overflowToLeft=false
Desolace (1254,4586) (1182,4530) (1238,4530) (1196,4585) (1140,4585) (1190,4471) (1133,4475) (1246,4473) (1294,4529) (1310,4584) (1210,4641) (1266,4641) (1365,4610) (1421,4629) (1365,4552) (1420,4569) (1475,4568) | overflowToLeft=false
Dire Maul (1188,6005) (1132,5976) (1244,6005) (1188,5949) (1244,5946) (1076,5967) (1075,6022) (1019,6000) (1019,6056) (1019,5942) (962,5981) (961,6039) (1130,6031) (1185,6061) (1241,6061) (1298,6066) (1299,6008) (1301,5950) (1298,5892) (1075,5909) (1131,5918) (1186,5883) (1241,5889) (1129,5861) (1353,6063) | overflowToLeft=false
Dire Maul Mountains (1204,5673) (1267,5614) (1261,5670) (1209,5616) (1192,5730) (1249,5729) (1305,5726) (1317,5670) (1152,5612) (1146,5668) (1323,5613) (1161,5555) (1217,5557) (1274,5556) (1331,5556) (1135,5724) (1374,5692) (1360,5749) (1288,5784) (1230,5786) (1173,5785) (1117,5780) (1214,5499) (1326,5499) (1270,5499) (1158,5499) (1295,5840) | overflowToLeft=false
